,author,like_count,comment,authorImage
73,Useruser-hp6en,1,"Kampus yang tidak ada ospeknya, dari awal sampai masuk sampai lulus yang di kembangakan dari soft skill dan hard skill mahasiswa 😘",https://yt3.ggpht.com/ytc/AIdro_m7kFZkzHv5E3_iz_Fk2WAoNvh7e6TRG3xlFb32KaM=s48-c-k-c0x00ffffff-no-rj
74,bossbani6685,2,"udah gak peduli ama kampus lain. pokok nya dulu  lulus smk 2018 langsung amikom tujuan nya. dengan bimbingan dosen dan kurikulum yang &quot;ekonomi kreatif&quot; banget, menambah wawasan keyakinan untuk bisa jadi boss entrepreneur... bangga bisa jadi bagian dari keluarga besar amikom dan bangga menjadi anak teknik komputer. Prof.Yanto panutan ku pokok e",https://yt3.ggpht.com/ytc/AIdro_lLmHpMz7k3Llw2YVAoeeykiBcocpCf_KiPRN2wcVA=s48-c-k-c0x00ffffff-no-rj
75,aldymi7935,1,"Terus maju amikom, semangat yg luar biasa motivasi",https://yt3.ggpht.com/ytc/AIdro_nnty5gHK9eGnWJ68BmGOxk9D1VdAcq9TiwyKY9muvfWyM=s48-c-k-c0x00ffffff-no-rj
76,juliantressse5511,2,Amikom economy park,https://yt3.ggpht.com/ytc/AIdro_koNx_XuQEcLsiQ87nO3QWALtKisfYOKcBohWnkyLI=s48-c-k-c0x00ffffff-no-rj
77,nadilahmid4695,1,"Keren , sukses amikom✨",https://yt3.ggpht.com/ytc/AIdro_mDxhVARyEY6KsOgzJwiB4GAb615-wYmPLlsk8b9p4=s48-c-k-c0x00ffffff-no-rj
78,fivar9330,2,Sukses selalu ~,https://yt3.ggpht.com/ytc/AIdro_mWigJBV3YZ--h6RLHN3B1HXzQh4ZWkbnqDccP_lICL_7iZ=s48-c-k-c0x00ffffff-no-rj
79,asnaya6453,2,Mantep dah bisa mengolah ide dan peluang buat jadi pengusaha,https://yt3.ggpht.com/ytc/AIdro_kTbBjmz6XA-V074dtjlzB_nOqIte4Vhm8zvptGy4U7Og=s48-c-k-c0x00ffffff-no-rj
80,millennialmenyedihkan467,1,Paling Kompetitif dalam masalah teknologi !,https://yt3.ggpht.com/ytc/AIdro_l09ztqVrZI4O5YX0SunL0BIPWML5w8yRKkShkiCzHzXUs=s48-c-k-c0x00ffffff-no-rj
81,HENDRI.05,2,TEKNIK KOMPUTER HADIR 🤘🏻,https://yt3.ggpht.com/gcob1kEUJpCg_lU9jAwT5NMOsa1PqQQ4V3lgtoW--DwK1opFnWqaatOQz9Xk7loHuWuZZBGX=s48-c-k-c0x00ffffff-no-rj
82,netcihesvindrati5662,2,Kuliah disini pelajarannya update dan selalu mengikuti perkembangan teknologi digital,https://yt3.ggpht.com/ytc/AIdro_mKrp7bj7b0X-ydvUqFQ14R8NtxJxl06T8DLUQX064-sJWX=s48-c-k-c0x00ffffff-no-rj
