,author,like_count,comment,authorImage
149,yorozouyaproject5442,6,"KEREEEENNN..... Kampus Demokrasi, yang selalu mendengar Aspirasi dari para mahasiswa nya!!!",https://yt3.ggpht.com/ytc/AIdro_l5OsEbF-V0-7J7F13NaeyWcKBfYX5UQbCf88tIjzbneg=s48-c-k-c0x00ffffff-no-rj
150,untalegend,6,Yg dislike pasti buzzer :v,https://yt3.ggpht.com/tK2ZTJtEUXYY0RvIlEFGdCKtwbPNkiG_eWytvaUewiabVvl5IY4ADWpWT4fLze0dSanvr6gEYg=s48-c-k-c0x00ffffff-no-rj
151,masdzub,2,Otw ndaftar amikom lagi,https://yt3.ggpht.com/ytc/AIdro_ljSIbZIuWIiKtbxJnkEa23cdx0IYCsTulfr9HnZHJbJb6t=s48-c-k-c0x00ffffff-no-rj
152,safitri3734,1,"Kak, total keseluruhan masuk amikom kira² berapa ya?",https://yt3.ggpht.com/ytc/AIdro_n2u2PxuopynaT_j7q4bVopS4sINm7K9yBGAWiHWLfTn6o=s48-c-k-c0x00ffffff-no-rj
153,ezhad0ank,2,"Ad lift skrg amikom, absensi msh kartu apa biometrik y",https://yt3.ggpht.com/ytc/AIdro_n6LCy_Mm6Bb06FpA1GBNJ9VsIs4obo3Ig4cTdI7bbynPs=s48-c-k-c0x00ffffff-no-rj
154,medinaavrilia2432,2,kak tes masuknya online atau datang ke amikon?,https://yt3.ggpht.com/ytc/AIdro_nG71LzzAmsN10jRYrr-S-3J0K8lsNWfiuwfZJtNxqldg=s48-c-k-c0x00ffffff-no-rj
155,nanacrunch7996,2,Kak akreditasi pascasarjana TI di amikom apa ya ?,https://yt3.ggpht.com/DL0fWEJh7uuROC6Q54NDSxX1ijuAcNeV0F5HPMMXsEBwTgr88oajpFa2EHap-YM1_CvEL_9yoQ=s48-c-k-c0x00ffffff-no-rj
156,jejaklangkah5035,3,Amikom menerima camaba kip kuliah gk kak?,https://yt3.ggpht.com/ytc/AIdro_krxQHbjbjqu_plKTLcygekx_xDG7su66VQtogIGRyTLg=s48-c-k-c0x00ffffff-no-rj
157,Boyolalitvofficial,1,Iklan di facebook donk,https://yt3.ggpht.com/daesBamJhH2T2rSuliwaZRrwY5vL7NIGx4nsFAkfS4D7yW8oDv7WVe2ifmYwa3kCFofEbbR24_o=s48-c-k-c0x00ffffff-no-rj
158,hello-ll1cw,4,Kak abang atau mas baju battle of surabaya atau tas dll dijual dishopee nanti aku beli semoga amikom menjadi universitas terbaik amin,https://yt3.ggpht.com/2AxwgZxT5U3y1a5AGzTasMaw3PzIUl98OJOJu7QgwG_RsN0Ku_GgWZd8evIFOXzyfePGKACKKR8=s48-c-k-c0x00ffffff-no-rj
159,caramaster2597,1,Fasilitas yg bagus,https://yt3.ggpht.com/kYTB5VowW7VMLwBwtd7KaTIAd0jnZPW4ug2nzowNNHdmuIKJ4z3Z4rIKDP9aoDpVf3wh68dV=s48-c-k-c0x00ffffff-no-rj
160,rudysusanto402,4,Jaman jamanny titip absen 😁,https://yt3.ggpht.com/ytc/AIdro_laGHS3YoRx70hJyw6eA7paBYfDbb7o9otDO5UcP84=s48-c-k-c0x00ffffff-no-rj
161,pramts,5,jadi pingin masuk informatika di amikom,https://yt3.ggpht.com/-QHt7g0Z0U2AuqAZpJycZzF87UpfSaTOsM7pWhutcQ-ARCXslQdCu4A43MPxh2DcxHX_7kqX=s48-c-k-c0x00ffffff-no-rj
162,ErikHadiSaputra,7,"Creative Economy Park, Terimakasih Updatenya Bang Dony Arius dan Tim :)Sukses dan Terbaikkk....",https://yt3.ggpht.com/ytc/AIdro_mDtaQjeQ9wCCU8cmVHDWEK8PWCThkLiDt_w_K3aIlwld4=s48-c-k-c0x00ffffff-no-rj
163,AyiChannel,7,Makin keren aja nih Amikom 👍,https://yt3.ggpht.com/ytc/AIdro_mtOTRnRS0p0KUqaksjfWGdwUP0dd19i6STvxIfC2lyeAI=s48-c-k-c0x00ffffff-no-rj
